Title,Video ID,Published At,Keyword,Likes,Comments,Views,avg_comment_likes,total_comment_likes,num_comments,avg_sentiment,pos_comments,neg_comments,neu_comments,year,month,dayofweek,is_weekend,video_age_days,title_len_chars,title_len_words,title_exclamations,title_questions,title_emojis,title_upper_words,title_uppercase_ratio,title_has_numbers,likes_per_1000_views,comments_per_1000_views,comments_to_likes_ratio,share_pos_comments,share_neg_comments,share_neu_comments,kw_animals,kw_apple,kw_asmr,kw_bed,kw_biology,kw_business,kw_chess,kw_cnn,kw_computer science,kw_crypto,kw_cubes,kw_data science,kw_education,kw_finance,kw_food,kw_game development,kw_gaming,kw_google,kw_history,kw_how-to,kw_interview,kw_literature,kw_lofi,kw_machine learning,kw_marvel,kw_mathchemistry,kw_minecraft,kw_movies,kw_mrbeast,kw_mukbang,kw_music,kw_news,kw_nintendo,kw_physics,kw_reaction,kw_sat,kw_sports,kw_tech,kw_trolling,kw_tutorial,kw_xbox,log_Views,log_Likes,log_Comments,log_total_comment_likes,log_avg_comment_likes,Viral
Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,wAZZ-UWGVHI,2022-08-23,tech,3407,672,135612,39.1,391,10,1.2,4,2,4,2022,8,1,0,1,98,16,0,0,0,1,0.21518987341772153,0,25.12314544435596,4.955313689054066,0.19724097446433814,0.4,0.2,0.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11.817560520099667,8.133880887949207,6.511745329644728,5.971261839790462,3.6913763343125234,0
The most EXPENSIVE thing I own.,b3x28s61q3c,2022-08-24,tech,76779,4306,1758063,598.2,5982,10,1.8,9,1,0,2022,8,2,0,0,31,6,0,0,0,1,0.44,0,43.67249637811614,2.4492865158984634,0.05608304354055145,0.9,0.1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.379723761570302,11.248699468554788,8.36799688505411,8.696677393390031,6.3955954322030095,0
My New House Gaming Setup is SICK!,4mgePWWCAmA,2022-08-23,tech,63825,3338,1564007,626.2,12524,20,1.9,18,0,2,2022,8,1,0,1,34,7,1,0,0,1,0.3333333333333333,0,40.808640882042084,2.1342615474227418,0.052299255777516644,0.9,0.0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.262762315163826,11.0639159098287,8.113426639943654,9.435481925953065,6.441265469036198,0
Petrol Vs Liquid Nitrogen | Freezing Experiment | പെട്രോളിനെ ഐസ് ആകാൻ പറ്റുമോ | M4 Tech |,kXiYSI7H2b0,2022-08-23,tech,71566,1426,922918,528.8,5288,10,1.6,6,0,4,2022,8,1,0,1,89,19,0,0,0,1,0.17777777777777778,1,77.54318368479106,1.5450993479377366,0.019925663024341168,0.6,0.0,0.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.735296752320982,11.17838935284977,7.2633296174768365,8.57338447106598,6.272499576837969,0
Best Back to School Tech 2022!,ErMwWXQxHp0,2022-08-08,tech,96513,5155,1855644,2721.7,27217,10,1.6,6,0,4,2022,8,0,0,16,30,6,1,0,0,0,0.2,1,52.010514947910266,2.77801129958117,0.05341249365370468,0.6,0.0,0.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.433742902481823,11.47744335452453,8.547916364059079,10.211633798120262,7.909379314000566,0
Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,18fwz9Itbvo,2021-11-05,tech,33570,1643,943119,1735.5,17355,10,1.3,5,2,3,2021,11,4,0,292,69,9,0,0,0,1,0.22807017543859648,0,35.594659846742566,1.7420919311348833,0.04894250819183795,0.5,0.2,0.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.756948806966008,10.42141787803205,7.404887575616125,9.761693546918242,7.459626872184129,0
Tech Monopolies: Last Week Tonight with John Oliver (HBO),jXf04bhcjbg,2022-06-13,tech,135047,9367,5937790,1921.5,19215,10,1.1,4,3,3,2022,6,0,0,72,57,9,0,0,0,1,0.21739130434782608,0,22.7436470471337,1.5775229504579986,0.06936103726850652,0.4,0.3,0.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15.596847736650373,11.813385549781225,9.145054905277552,9.863498544319764,7.5613817013797995,1
I bought the STRANGEST TECH on the Internet.,2TqOmtTAMRY,2022-08-07,tech,216935,12605,4782514,1148.0,11480,10,1.8,9,1,0,2022,8,6,1,17,44,8,0,0,0,2,0.4166666666666667,0,45.36003449231931,2.6356430948241867,0.05810496231590108,0.9,0.1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15.380477116726546,12.287357658146357,9.441928170073055,9.348448774093812,7.046647277848756,1
15 Emerging Technologies that Will Change the World,wLlL46pYcg4,2021-12-08,tech,45565,2882,7001236,120.5,1205,10,1.1,3,2,5,2021,12,2,0,259,51,8,0,0,0,0,0.11904761904761904,1,6.508136563315392,0.4116416015686373,0.0632503017667069,0.3,0.2,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15.761597405693172,10.726917103358996,7.9665866976384025,7.095064377287131,4.799914262780603,1
Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,R7qsau3X6Ks,2022-07-14,tech,24252,1068,667767,1233.3,12333,10,1.1,5,4,1,2022,7,3,0,41,78,10,0,0,0,1,0.2153846153846154,0,36.31805704684418,1.599360255897641,0.04403760514596734,0.5,0.4,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.411696086805076,10.09629560005422,6.974478911025045,9.420114955551439,7.118259286749883,0
